1	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0
3	3	3	2	1	1	3	3	3
4	5	2	4	2	4	3	2	2
5	6	3	1	2	3	2	2	3
6	2	4	3	1	2	3	1	4
7	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0
9	5	3	1	1	2	4	4	3
10	5	3	2	3	1	4	5	3
11	5	2	1	3	4	4	2	3
12	3	1	1	1	3	3	2	2
13	2	3	2	1	4	1	1	2
14	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0
16	2	2	2	2	2	2	2	3
17	6	3	2	2	1	3	2	2
18	3	3	2	1	4	4	2	3
19	3	3	3	2	3	4	3	3
20	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0
22	2	2	1	2	4	1	1	1
23	4	2	3	2	2	3	1	1
24	4	3	1	2	2	3	2	4
25	2	3	1	1	3	2	4	1
26	3	3	2	1	2	2	1	4
27	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0
29	1	2	2	1	1	1	1	2
30	2	2	3	2	2	2	3	3
31	6	1	1	3	2	2	4	2
32	3	3	2	1	2	2	1	5
33	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0
