data; 

set N := 0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64   65   66   67   68   69   70   71   72   73   74   75   76   77   78   79   80   81   82   83   84   85   86   87   88   89   90   91   92   93   94   95   96   97   98   99  100;

set E :=  (0,1) (1,2) (1,11) (2,3) (2,12) (3,4) (3,13) (4,5) (4,14) (5,6) (5,15) (6,7) (6,16) (7,8) (7,17) (8,9) (8,18) (9,10) (9,19) (10,20) (11,12) (11,21) (12,13) (12,22) (13,14) (13,23) (14,15) (14,24) (15,16) (15,25) (16,17) (16,26) (17,18) (17,27) (18,19) (18,28) (19,20) (19,29) (20,30) (21,22) (21,31) (22,23) (22,32) (23,24) (23,33) (24,25) (24,34) (25,26) (25,35) (26,27) (26,36) (27,28) (27,37) (28,29) (28,38) (29,30) (29,39) (30,40) (31,32) (31,41) (32,33) (32,42) (33,34) (33,43) (34,35) (34,44) (35,36) (35,45) (36,37) (36,46) (37,38) (37,47) (38,39) (38,48) (39,40) (39,49) (40,50) (41,42) (41,51) (42,43) (42,52) (43,44) (43,53) (44,45) (44,54) (45,46) (45,55) (46,47) (46,56) (47,48) (47,57) (48,49) (48,58) (49,50) (49,59) (50,60) (51,52) (51,61) (52,53) (52,62) (53,54) (53,63) (54,55) (54,64) (55,56) (55,65) (56,57) (56,66) (57,58) (57,67) (58,59) (58,68) (59,60) (59,69) (60,70) (61,62) (61,71) (62,63) (62,72) (63,64) (63,73) (64,65) (64,74) (65,66) (65,75) (66,67) (66,76) (67,68) (67,77) (68,69) (68,78) (69,70) (69,79) (70,80) (71,72) (71,81) (72,73) (72,82) (73,74) (73,83) (74,75) (74,84) (75,76) (75,85) (76,77) (76,86) (77,78) (77,87) (78,79) (78,88) (79,80) (79,89) (80,90) (81,82) (81,91) (82,83) (82,92) (83,84) (83,93) (84,85) (84,94) (85,86) (85,95) (86,87) (86,96) (87,88) (87,97) (88,89) (88,98) (89,90) (89,99) (90,100) (91,92) (92,93) (93,94) (94,95) (95,96) (96,97) (97,98) (98,99) (99,100);

set F[0,1] :=  (0,1);

set F[1,2] :=  (1,11) (2,3) (2,12) (0,1);

set F[1,11] :=  (1,2) (11,12) (11,21) (0,1);

set F[2,3] :=  (2,12) (3,4) (3,13) (1,2);

