data; 

set N := 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64;

set E :=  (0,1) (1,2) (1,9) (2,3) (2,10) (3,4) (3,11) (4,5) (4,12) (5,6) (5,13) (6,7) (6,14) (7,8) (7,15) (8,16) (9,10) (9,17) (10,11) (10,18) (11,12) (11,19) (12,13) (12,20) (13,14) (13,21) (14,15) (14,22) (15,16) (15,23) (16,24) (17,18) (17,25) (18,19) (18,26) (19,20) (19,27) (20,21) (20,28) (21,22) (21,29) (22,23) (22,30) (23,24) (23,31) (24,32) (25,26) (25,33) (26,27) (26,34) (27,28) (27,35) (28,29) (28,36) (29,30) (29,37) (30,31) (30,38) (31,32) (31,39) (32,40) (33,34) (33,41) (34,35) (34,42) (35,36) (35,43) (36,37) (36,44) (37,38) (37,45) (38,39) (38,46) (39,40) (39,47) (40,48) (41,42) (41,49) (42,43) (42,50) (43,44) (43,51) (44,45) (44,52) (45,46) (45,53) (46,47) (46,54) (47,48) (47,55) (48,56) (49,50) (49,57) (50,51) (50,58) (51,52) (51,59) (52,53) (52,60) (53,54) (53,61) (54,55) (54,62) (55,56) (55,63) (56,64) (57,58) (58,59) (59,60) (60,61) (61,62) (62,63) (63,64);

set F[0,1] :=  (0,1);

set F[1,2] :=  (1,9) (2,3) (2,10) (0,1);

set F[1,9] :=  (1,2) (9,10) (9,17) (0,1);

set F[2,3] :=  (2,10) (3,4) (3,11) (1,2);

set F[2,10] :=  (2,3) (10,11) (10,18) (1,2) (9,10);

set F[3,4] :=  (3,11) (4,5) (4,12) (2,3);

set F[3,11] :=  (3,4) (11,12) (11,19) (2,3) (10,11);

set F[4,5] :=  (4,12) (5,6) (5,13) (3,4);

set F[4,12] :=  (4,5) (12,13) (12,20) (3,4) (11,12);

set F[5,6] :=  (5,13) (6,7) (6,14) (4,5);

set F[5,13] :=  (5,6) (13,14) (13,21) (4,5) (12,13);

set F[6,7] :=  (6,14) (7,8) (7,15) (5,6);

set F[6,14] :=  (6,7) (14,15) (14,22) (5,6) (13,14);

set F[7,8] :=  (7,15) (8,16) (6,7);

set F[7,15] :=  (7,8) (15,16) (15,23) (6,7) (14,15);

set F[8,16] :=  (16,24) (7,8) (15,16);

set F[9,10] :=  (9,17) (10,11) (10,18) (1,9) (2,10);

set F[9,17] :=  (9,10) (17,18) (17,25) (1,9);

set F[10,11] :=  (10,18) (11,12) (11,19) (2,10) (9,10) (3,11);

set F[10,18] :=  (10,11) (18,19) (18,26) (2,10) (9,10) (17,18);

set F[11,12] :=  (11,19) (12,13) (12,20) (3,11) (10,11) (4,12);

set F[11,19] :=  (11,12) (19,20) (19,27) (3,11) (10,11) (18,19);

set F[12,13] :=  (12,20) (13,14) (13,21) (4,12) (11,12) (5,13);

set F[12,20] :=  (12,13) (20,21) (20,28) (4,12) (11,12) (19,20);

