data; 

param numTasks := 34;

param horizonLength := 83;

param numResourcesTypes := 1;

param Ra :=  1 6;

set P :=  (1,2) (1,8) (1,15) (1,34) (1,13) (2,3) (2,4) (2,34) (3,5) (3,6) (3,34) (4,6) (4,7) (4,34) (5,7) (5,34) (6,7) (6,34) (7,21) (7,28) (7,34) (8,9) (8,10) (8,34) (9,11) (9,34) (10,11) (10,34) (11,12) (11,13) (11,34) (12,14) (12,34) (13,14) (13,34) (14,28) (14,34) (15,16) (15,34) (16,17) (16,18) (16,34) (17,19) (17,34) (18,19) (18,34) (19,20) (19,34) (20,21) (20,34) (21,22) (21,23) (21,34) (22,24) (22,25) (22,34) (23,25) (23,26) (23,34) (24,27) (24,34) (25,27) (25,34) (26,27) (26,34) (27,34) (28,29) (28,30) (28,31) (28,34) (29,32) (29,34) (30,32) (30,34) (31,32) (31,34) (32,33) (32,34) (33,34);

set M[1] := 1  2;

set M[2] := 1  2;

set M[3] := 1  2;

set M[4] := 1  2;

set M[5] := 1  2;

set M[6] := 1  2;

set M[7] := 1  2;

set M[8] := 1  2;

set M[9] := 1  2;

set M[10] := 1  2;

set M[11] := 1  2;

set M[12] := 1  2;

set M[13] := 1  2;

set M[14] := 1  2;

set M[15] := 1  2;

set M[16] := 1  2;

set M[17] := 1  2;

set M[18] := 1  2;

set M[19] := 1  2;

set M[20] := 1  2;

set M[21] := 1  2;

set M[22] := 1  2;

set M[23] := 1  2;

set M[24] := 1  2;

set M[25] := 1  2;

set M[26] := 1  2;

set M[27] := 1  2;

set M[28] := 1  2;

set M[29] := 1  2;

set M[30] := 1  2;

set M[31] := 1  2;

set M[32] := 1  2;

set M[33] := 1  2;

set M[34] := 1  2;

param e : 1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34:=
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
; 

param l : 1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34:=
1	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	
; 

param d : 1  2:=
1	0	0	
2	0	0	
3	3	1	
4	5	4	
5	6	3	
6	2	2	
7	0	0	
8	0	0	
9	5	2	
10	5	1	
11	5	4	
12	3	3	
13	2	4	
14	0	0	
15	0	0	
16	2	2	
17	6	1	
18	3	4	
19	3	3	
20	0	0	
21	0	0	
22	2	4	
23	4	2	
24	4	2	
25	2	3	
26	3	2	
27	0	0	
28	0	0	
29	1	1	
30	2	2	
31	6	2	
32	3	2	
33	0	0	
34	0	0	
; 

param w:=
[*,*,1] : 1  2 :=
1	0	0	
2	0	0	
3	3	3	
4	2	3	
5	3	2	
6	4	3	
7	0	0	
8	0	0	
9	3	4	
10	3	4	
11	2	4	
12	1	3	
13	3	1	
14	0	0	
15	0	0	
16	2	2	
17	3	3	
18	3	4	
19	3	4	
20	0	0	
21	0	0	
22	2	1	
23	2	3	
24	3	3	
25	3	2	
26	3	2	
27	0	0	
28	0	0	
29	2	1	
30	2	2	
31	1	2	
32	3	2	
33	0	0	
34	0	0	
; 

